name,pick,season,ftm,fta,3fgm,3fga,rim_made,rim_miss,mid_made,mid_miss,dunks_made,dunks_miss,oreb,dreb,ast,stl,blks,pts,gp,height,rec_rank,mpg,age,tov,sos,team_strength,international,NCAA_possessions_est,NBA_minutes,NBA_seasons,NBA_impact,standard_error
Ryan Conwell,,2026,124,149,112,325,72,50,17,29,0,0,21,141,91,38,6,638,34,75,,30.9,21.6,73,7.6,14.7,0,1857,,,,
Braden Smith,,2026,99,120,64,177,49,32,84,106,0,0,25,113,345,66,8,557,39,72,61.2,34.5,22.5,113,9,16.7,0,2185,,,,
Richie Saunders,,2026,89,109,64,170,62,28,17,20,6,2,47,97,52,43,7,451,25,77,,31.3,24.3,41,6.6,13,0,1393,,,,
Alex Karaban,,2026,74,87,77,206,82,55,18,33,11,0,72,139,94,33,33,527,40,80,81.2,34.2,23.2,43,7.8,16.8,0,2247,,,,
Henri Veesaar,,2026,72,117,40,94,64,33,46,40,58,7,68,202,64,18,37,528,31,84,85.2,31.4,21.8,52,7,12,1,1678,,,,
Zuby Ejiofor,,2026,186,259,18,59,104,72,43,59,35,1,123,148,131,43,79,604,37,81,89.4,30,21.8,78,7.2,15,0,1953,,,,
Joshua Jefferson,,2026,149,213,38,110,92,69,48,76,16,1,66,194,167,57,29,575,35,81,,30.9,22.2,89,5.9,18.7,0,1841,,,,
Dailyn Swain,,2026,161,198,32,92,110,74,39,43,25,1,59,204,125,57,11,606,35,80,82.4,32.8,20.5,93,7.4,10.2,0,1959,,,,
Aday Mara,,2026,79,140,3,10,78,30,39,56,81,7,76,194,97,14,103,484,40,87,97.2,23.4,20.8,79,9.7,22.6,1,1665,,,,
Cameron Carr,,2026,132,164,77,205,39,32,48,53,44,7,21,170,87,29,44,623,33,77,88.8,33.7,21.2,78,7.3,8.2,0,1925,,,,
Yaxel Lendeborg,,2026,136,165,67,180,84,41,20,33,29,1,75,196,129,45,49,603,40,81,,30.1,23.3,42,10,22.6,0,2133,,,,
Pryce Sandfort,,2026,71,83,129,310,65,24,20,30,3,1,22,148,70,36,9,634,35,79,83,33.6,21.6,24,6.8,14.7,0,1954,,,,
Motiejus Krivas,,2026,131,168,4,13,48,43,57,49,27,2,120,198,43,28,73,407,39,86,73.2,25.4,21.2,53,9.1,21.2,1,1755,,,,
Isaiah Evans,,2026,98,114,101,280,40,26,23,37,22,2,15,107,48,27,25,571,38,78,97.2,28.2,20.1,43,8.2,22.6,0,1785,,,,
Labaron Philon,,2026,158,198,81,203,108,59,49,61,5,0,19,98,165,38,6,725,33,76,93.2,30.9,20.2,84,9.9,14.4,0,1887,,,,
Jayden Quaintance,,2026,4,13,0,0,5,3,1,2,2,1,8,12,2,2,3,20,4,83,98.6,16.8,18.5,6,10.4,11.9,0,116,,,,
Morez Johnson Jr.,,2026,122,156,12,35,114,58,19,34,50,3,100,193,48,27,44,524,40,81,94.2,25.1,20,53,10,22.6,0,1787,,,,
Christian Anderson,,2026,95,118,108,260,47,19,41,55,8,2,20,98,244,48,8,611,33,75,76.6,38.4,19.8,109,8.8,13.3,0,2147,,,,
Bennett Stirtz,,2026,140,165,92,257,87,40,61,69,11,1,10,88,163,51,9,734,37,76,,37.7,22.3,68,6.8,12.8,0,2186,,,,
Allen Graves,,2026,84,112,37,91,55,42,29,36,21,2,95,126,61,65,32,400,34,81,,22.6,20.3,24,4.1,10.6,0,1341,,,,
Koa Peat,,2026,101,162,7,20,87,59,53,105,53,2,77,126,93,23,25,508,36,80,98.6,27.8,19,58,8,21.2,0,1801,,,,
Brayden Burries,,2026,136,169,70,179,74,48,49,60,17,1,21,170,95,59,8,626,39,76,98.2,29.8,20.4,57,8.3,21.2,0,2073,,,,
Caleb Wilson,,2026,129,181,7,27,48,34,48,60,67,10,68,158,64,36,33,476,24,82,99.2,31.3,19.5,47,5.7,12,0,1299,,,,
Chris Cenac Jr,,2026,36,58,30,90,20,15,58,76,35,1,83,208,27,28,18,352,37,83,99,24.8,19,33,7.9,19.5,0,1486,,,,
Kingston Flemings,,2026,109,129,41,106,84,69,86,108,11,2,19,131,192,56,12,594,37,76,96.8,31.7,19.1,66,7.8,19.5,0,1898,,,,
Meleek Thomas,,2026,91,108,82,197,66,46,52,101,3,2,33,109,92,57,7,579,37,77,98,30.5,19.5,37,8.1,13.7,0,2051,,,,
Darryn Peterson,,2026,109,132,63,165,31,24,53,71,9,3,17,84,38,34,15,484,24,77,99.8,29,19.1,38,9.8,13.3,0,1196,,,,
AJ Dybantsa,,2026,229,296,49,148,90,46,126,146,43,5,51,188,130,37,12,894,35,81,100,34.8,19,108,7.9,13,0,2136,,,,
Ebuka Okorie,,2026,188,226,63,178,127,105,36,49,8,0,23,90,111,49,10,719,31,74,57.6,35.1,19.3,58,5.5,5.7,0,1841,,,,
Keaton Wagler,,2026,172,216,87,219,84,61,31,58,0,1,71,117,157,34,14,663,37,78,52.6,33.9,19.3,66,8.2,18.8,0,2051,,,,
Nate Ament,,2026,196,248,46,138,46,53,66,111,13,2,61,161,82,34,22,584,35,82,99.4,29.7,19.1,79,8.5,14.7,0,1747,,,,
Mikel Brown Jr.,,2026,103,122,55,160,37,23,10,31,10,2,1,69,99,26,3,382,21,77,98.8,29.2,19.8,65,5.7,14.7,0,1111,,,,
Cameron Boozer,,2026,221,280,54,138,173,116,22,30,41,2,128,261,157,53,23,855,38,81,99.6,33.5,18.5,96,8.3,22.6,0,2115,,,,
Hannes Steinbach,,2026,120,158,18,53,115,59,47,58,29,1,126,227,47,32,37,556,30,83,99,34.7,19.7,59,6.2,7.8,1,1752,,,,
Darius Acuff Jr.,,2026,178,220,91,207,119,82,71,106,7,3,17,94,232,30,11,845,36,75,98.4,35.1,19.3,78,8.7,13.7,0,2303,,,,
